mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_l1_ratio,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.011405611038208007,0.004114580154418945,0.5468914301926263,0.5631708732448161,0.1,1.0,"{'l1_ratio': 1.0, 'alpha': 0.1}",1,0.5672767849457336,0.559010048716714,0.5914997322141272,0.5546658910199311,0.5269881305735747,0.566431200648916,0.48327786088521385,0.5764743601333089,0.5653506843910705,0.5592728657052107,0.000598258768912409,0.0002888002108405507,0.03791277437002837,0.007647929711396535
0.012093019485473634,0.005232954025268554,0.5208862108866829,0.5346207695142777,0.5,1.0,"{'l1_ratio': 1.0, 'alpha': 0.5}",2,0.5365260239324583,0.5308108346606633,0.559331870748207,0.526008050767325,0.5117334147879478,0.5374858263045262,0.4575447547418906,0.5492188389465913,0.5392312559295644,0.529580296892283,0.0014364058602041258,0.0011201717875802763,0.03507834984596218,0.008190397714616444
0.010756158828735351,0.004094600677490234,0.5196444133487655,0.5322128451382376,1.0,1.0,"{'l1_ratio': 1.0, 'alpha': 1.0}",3,0.5348427671563389,0.5290058568460008,0.5577848012310893,0.5244517600865357,0.5094723757988439,0.5339196786106158,0.4576613099965192,0.5457003097272037,0.5383995831934617,0.5279866204208324,0.001697124704915084,0.0004857488430463671,0.03458398244755754,0.007391957413153125
0.010983419418334962,0.004539775848388672,0.518691151141398,0.5327004028100546,0.1,0.5,"{'l1_ratio': 0.5, 'alpha': 0.1}",4,0.5330906698801725,0.529704332252328,0.557148154082838,0.5249662339077501,0.5082590074716847,0.5343308816618877,0.45560200935412265,0.5463695890670184,0.539295738495462,0.5281309771612889,0.0006608199272228382,0.0007825963298212963,0.035205618129423064,0.007472329922717416
0.01076974868774414,0.004354238510131836,0.515782710281183,0.529496249467984,0.1,0.1,"{'l1_ratio': 0.1, 'alpha': 0.1}",5,0.5284745456133664,0.5266036966891716,0.5532878382902214,0.5218891797541063,0.5046070152033715,0.5311488469027871,0.45530459149876124,0.5431616476397203,0.5371842114835088,0.5246778763541344,0.0005954828764199827,0.0004985167041333711,0.03407550564629555,0.0074689393644330835
0.012035655975341796,0.005024528503417969,0.502158998420569,0.515206727521417,0.5,0.5,"{'l1_ratio': 0.5, 'alpha': 0.5}",6,0.5102313491149675,0.5127753583800858,0.5371236577807487,0.5081153600142807,0.4885026614877843,0.51702317177955,0.4495664681676719,0.528708341418221,0.5253291808380246,0.5094114060149482,0.0023176922442134794,0.0010539995170002147,0.030903218460065794,0.007421291638890108
0.00993032455444336,0.004374313354492188,0.49067956175065763,0.5035189362605506,0.5,0.1,"{'l1_ratio': 0.1, 'alpha': 0.5}",7,0.4954540763166557,0.5014584057036316,0.523592542332513,0.4967980294233577,0.4766507623190913,0.505608526209124,0.4431320304984874,0.5167999456208263,0.514534838852901,0.49692977434581276,0.001604049138858169,0.0007391703692878688,0.028743840126956098,0.007397094367517082
0.00927281379699707,0.003924369812011719,0.48718441911182114,0.4992899502931456,1.0,0.5,"{'l1_ratio': 0.5, 'alpha': 1.0}",8,0.49097475594883877,0.4975155018658498,0.5187654100713484,0.492424231387264,0.4751221111222126,0.5020684913259514,0.44063150424650477,0.5121977852798564,0.5103952517307593,0.4922437416068066,0.001033086471730476,0.00021625287991252785,0.027790273925815755,0.0074063258702583715
0.013091850280761718,0.006590032577514648,0.47245022105546425,0.48432242985713964,1.0,0.1,"{'l1_ratio': 0.1, 'alpha': 1.0}",9,0.47107916623718316,0.48272443327808245,0.5015709359109464,0.4780458947023737,0.4616142595887456,0.4870503537687818,0.4325565163840974,0.49708839365542945,0.4954062360945468,0.4767030738810306,0.005326658895608062,0.0022314543484300998,0.02483766138247056,0.007354107324119152
